Month,Peak Players,#Gain In Players,% Gain in Players,Average # of Players,Avg % Gain of Players,Twitch Peak Viewers,YearMonth,date,price,volume,elasticity,percent_change_7_days,percent_change_1_day,US_Holiday,item_name
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-13,38.14,1.0,96.57424933070482,-2.9541233047505187,3.0810810810810825,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-13,37.819,2.0,50.3196038359021,-3.770896414849493,2.2135135135135204,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-13,37.773,2.0,47.232525855343745,-3.887941782651837,2.089189189189198,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-13,37.03,1.0,24.764785432715247,-5.778478919111475,0.08108108108108415,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-13,37.555,2.0,36.593288680951645,-4.442635047454269,1.4999999999999993,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-13,37.783,2.0,47.87097279274103,-3.862497137477419,2.1162162162162197,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-13,37.832,2.0,51.26655167269203,-3.737818376122748,2.2486486486486505,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-13,37.45,4.0,30.114947319181336,-4.709803821785703,1.216216216216224,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-13,37.45,1.0,34.46013988483469,-4.709803821785703,1.216216216216224,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-13,37.55,1.0,38.00249360899528,-4.455357370041487,1.4864864864864789,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-14,38.442,1.0,-601.5150681105383,3.1114210611018827,-2.4785002156320473,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-14,37.38,4.0,31.308997757898773,0.2628614344724159,-5.172632486871799,False,AWP | Neo-Noir (Factory New)
December 2023,"1,255,172","+91,784",+7.9%,"774,082",+8.5%,"301,070",2023-12,2023-12-14,38.011,4.0,84.68660285702651,1.9553672013304177,-3.571881579948741,False,AWP | Neo-Noir (Factory New)
